net,radius,data_number,tool,autoattack_success
vgg19,4,50,patch,0.0
vgg19,4,50,ori,0.86
vgg19,4,50,adv-train,0.78
vgg19,4,50,label,0.0
vgg19,4,50,care,0.0
vgg19,4,50,prdnn,0
vgg19,4,50,aprnn,0.0
vgg19,4,100,patch,0.0
vgg19,4,100,ori,0.87
vgg19,4,100,adv-train,0.93
vgg19,4,100,label,0.0
vgg19,4,100,care,0.0
vgg19,4,100,prdnn,0
vgg19,4,100,aprnn,0.0
vgg19,4,200,patch,0.0
vgg19,4,200,ori,0.885
vgg19,4,200,adv-train,0.845
vgg19,4,200,label,0.0
vgg19,4,200,care,0.0
vgg19,4,200,prdnn,0
vgg19,4,200,aprnn,0.0
vgg19,4,500,patch,0.0
vgg19,4,500,ori,0.848
vgg19,4,500,adv-train,0.82
vgg19,4,500,label,0.0
vgg19,4,500,care,0.0
vgg19,4,500,prdnn,None
vgg19,4,500,aprnn,0.0
vgg19,4,1000,patch,0.0
vgg19,4,1000,ori,0.833
vgg19,4,1000,adv-train,0.751
vgg19,4,1000,label,0.0
vgg19,4,1000,care,0.0
vgg19,4,1000,prdnn,None
vgg19,4,1000,aprnn,0.0
vgg19,8,50,patch,0.0
vgg19,8,50,ori,0.84
vgg19,8,50,adv-train,0.76
vgg19,8,50,label,0.0
vgg19,8,50,care,0.0
vgg19,8,50,prdnn,0
vgg19,8,50,aprnn,0.0
vgg19,8,100,patch,0.0
vgg19,8,100,ori,0.85
vgg19,8,100,adv-train,0.87
vgg19,8,100,label,0.0
vgg19,8,100,care,0.0
vgg19,8,100,prdnn,0
vgg19,8,100,aprnn,0.0
vgg19,8,200,patch,0.0
vgg19,8,200,ori,0.865
vgg19,8,200,adv-train,0.84
vgg19,8,200,label,0.0
vgg19,8,200,care,0.0
vgg19,8,200,prdnn,0
vgg19,8,200,aprnn,0.0
vgg19,8,500,patch,0.0
vgg19,8,500,ori,0.88
vgg19,8,500,adv-train,0.854
vgg19,8,500,label,0.0
vgg19,8,500,care,0.0
vgg19,8,500,prdnn,None
vgg19,8,500,aprnn,0.0
vgg19,8,1000,patch,0.0
vgg19,8,1000,ori,0.875
vgg19,8,1000,adv-train,0.799
vgg19,8,1000,label,0.0
vgg19,8,1000,care,0.0
vgg19,8,1000,prdnn,None
vgg19,8,1000,aprnn,0.0
resnet18,4,50,patch,0.0
resnet18,4,50,ori,0.84
resnet18,4,50,adv-train,0.82
resnet18,4,50,label,0.0
resnet18,4,50,care,0
resnet18,4,50,prdnn,0
resnet18,4,50,aprnn,0.0
resnet18,4,100,patch,0.0
resnet18,4,100,ori,0.82
resnet18,4,100,adv-train,0.91
resnet18,4,100,label,0.0
resnet18,4,100,care,0
resnet18,4,100,prdnn,0
resnet18,4,100,aprnn,0.0
resnet18,4,200,patch,0.0
resnet18,4,200,ori,0.81
resnet18,4,200,adv-train,0.86
resnet18,4,200,label,0.0
resnet18,4,200,care,0
resnet18,4,200,prdnn,0
resnet18,4,200,aprnn,0.0
resnet18,4,500,patch,0.0
resnet18,4,500,ori,0.788
resnet18,4,500,adv-train,0.826
resnet18,4,500,label,0.0
resnet18,4,500,care,0
resnet18,4,500,prdnn,None
resnet18,4,500,aprnn,0.0
resnet18,4,1000,patch,0.0
resnet18,4,1000,ori,0.803
resnet18,4,1000,adv-train,0.753
resnet18,4,1000,label,0.0
resnet18,4,1000,care,0
resnet18,4,1000,prdnn,None
resnet18,4,1000,aprnn,0.0
resnet18,8,50,patch,0.0
resnet18,8,50,ori,0.84
resnet18,8,50,adv-train,0.84
resnet18,8,50,label,0.0
resnet18,8,50,care,0
resnet18,8,50,prdnn,0
resnet18,8,50,aprnn,0.0
resnet18,8,100,patch,0.0
resnet18,8,100,ori,0.87
resnet18,8,100,adv-train,0.8
resnet18,8,100,label,0.0
resnet18,8,100,care,0
resnet18,8,100,prdnn,0
resnet18,8,100,aprnn,0.0
resnet18,8,200,patch,0.0
resnet18,8,200,ori,0.88
resnet18,8,200,adv-train,0.86
resnet18,8,200,label,0.0
resnet18,8,200,care,0
resnet18,8,200,prdnn,0
resnet18,8,200,aprnn,0.0
resnet18,8,500,patch,0.0
resnet18,8,500,ori,0.858
resnet18,8,500,adv-train,0.826
resnet18,8,500,label,0.0
resnet18,8,500,care,0
resnet18,8,500,prdnn,None
resnet18,8,500,aprnn,0.0
resnet18,8,1000,patch,0.0
resnet18,8,1000,ori,0.856
resnet18,8,1000,adv-train,0.798
resnet18,8,1000,label,0.0
resnet18,8,1000,care,0
resnet18,8,1000,prdnn,None
resnet18,8,1000,aprnn,0.0
